Top pages,Clicks,Impressions,CTR,Position
https://tickets.chobble.com/,14,484,2.89%,4.55
https://tickets.chobble.com/compared-to/hi-events/,6,793,0.76%,8.83
https://tickets.chobble.com/compared-to/pretix/,4,833,0.48%,8.86
https://tickets.chobble.com/compared-to/resident-advisor/,2,627,0.32%,10.16
https://tickets.chobble.com/compared-to/swicket/,2,236,0.85%,9.77
https://tickets.chobble.com/compared-to/eventim-light/,1,376,0.27%,17.77
https://tickets.chobble.com/compared-to/dice/,1,279,0.36%,13.94
https://tickets.chobble.com/compared-to/eventbrite/,1,127,0.79%,37.04
https://tickets.chobble.com/compared-to/parentkind/,1,120,0.83%,11.95
https://tickets.chobble.com/compared-to/fatsoma/,1,72,1.39%,9.4
https://tickets.chobble.com/compared-to/,1,69,1.45%,22.26
https://tickets.chobble.com/features/webhooks/,1,60,1.67%,14.03
https://tickets.chobble.com/features/open-source/,1,40,2.5%,12.97
https://tickets.chobble.com/compared-to/signupgenius/,0,752,0%,12.17
https://tickets.chobble.com/features/qr-code-check-ins/,0,726,0%,77.04
https://tickets.chobble.com/compared-to/cheddar-up/,0,328,0%,14.33
https://tickets.chobble.com/compared-to/tito/,0,280,0%,7.74
https://tickets.chobble.com/compared-to/wix-events/,0,254,0%,11.42
https://tickets.chobble.com/compared-to/ticket-tailor/,0,218,0%,11.7
https://tickets.chobble.com/compared-to/ticketek/,0,161,0%,24.8
https://tickets.chobble.com/compared-to/cal-com/,0,146,0%,18.64
https://tickets.chobble.com/compared-to/fooevents/,0,124,0%,9.31
https://tickets.chobble.com/compared-to/pta-events/,0,114,0%,10.3
https://tickets.chobble.com/compared-to/fixr/,0,90,0%,13.84
https://tickets.chobble.com/compared-to/resova/,0,83,0%,9.76
https://tickets.chobble.com/features/public-api/,0,80,0%,12.69
https://tickets.chobble.com/compared-to/tessera-tickets/,0,79,0%,8.13
https://tickets.chobble.com/compared-to/compare-all/,0,57,0%,36.09
https://tickets.chobble.com/features/no-per-ticket-fees/,0,56,0%,33.32
https://tickets.chobble.com/compared-to/ticketmaster/,0,52,0%,10.06
https://tickets.chobble.com/faq/,0,52,0%,17.85
https://tickets.chobble.com/features/european/,0,50,0%,11.56
https://tickets.chobble.com/compared-to/bookitbee/,0,50,0%,16.3
https://tickets.chobble.com/features/encrypted/,0,49,0%,41.61
https://tickets.chobble.com/features/apple-wallet/,0,48,0%,33.17
https://tickets.chobble.com/features/,0,46,0%,14.43
https://tickets.chobble.com/reviews/,0,43,0%,12.28
https://tickets.chobble.com/about/,0,39,0%,5
https://tickets.chobble.com/features/stripe-and-square/,0,38,0%,21.08
https://tickets.chobble.com/features/manual-attendees/,0,37,0%,17.54
https://tickets.chobble.com/perfect-for/,0,36,0%,16.08
https://tickets.chobble.com/features/groups/,0,30,0%,23.93
https://tickets.chobble.com/features/custom-domain/,0,28,0%,21.57
https://tickets.chobble.com/compared-to/google-forms/,0,27,0%,41.85
https://tickets.chobble.com/features/markdown-descriptions/,0,24,0%,24.71
https://tickets.chobble.com/features/admin-api/,0,23,0%,10.04
https://tickets.chobble.com/features/csv-export/,0,23,0%,25.91
https://tickets.chobble.com/compared-to/tickts/,0,20,0%,11.05
https://tickets.chobble.com/perfect-for/equipment-hire/,0,18,0%,45.61
https://tickets.chobble.com/hosting/,0,17,0%,9.59
https://tickets.chobble.com/features/email-providers/,0,17,0%,25.71
https://tickets.chobble.com/features/daily-events/,0,16,0%,12.56
https://tickets.chobble.com/perfect-for/charity-events/,0,16,0%,35.44
https://tickets.chobble.com/compared-to/pen-and-paper/,0,14,0%,54.14
https://tickets.chobble.com/perfect-for/kids-parties/,0,13,0%,38.38
https://tickets.chobble.com/features/ledger/,0,12,0%,12.42
https://tickets.chobble.com/perfect-for/political-organising/,0,11,0%,61
https://tickets.chobble.com/features/customising-your-site/,0,10,0%,27
https://tickets.chobble.com/compared-to/yo-rent/,0,9,0%,11.67
https://tickets.chobble.com/features/overbooking-prevention/,0,9,0%,26.44
https://tickets.chobble.com/perfect-for/music-concerts/,0,9,0%,46.78
https://tickets.chobble.com/perfect-for/adult-parties/,0,8,0%,13.75
https://tickets.chobble.com/features/purchasable-events/,0,8,0%,21.75
https://tickets.chobble.com/perfect-for/theatre-and-performing-arts/,0,6,0%,17.33
https://tickets.chobble.com/perfect-for/fundraising/,0,6,0%,24.67
https://tickets.chobble.com/features/light-and-dark-themes/,0,6,0%,43.5
https://tickets.chobble.com/features/your-public-website/,0,5,0%,3.2
https://tickets.chobble.com/features/promo-codes-and-add-ons/,0,5,0%,8.6
https://tickets.chobble.com/features/logistics/,0,5,0%,24.2
https://tickets.chobble.com/features/duplicate-events/,0,5,0%,32
https://tickets.chobble.com/features/postcode-lookup/,0,5,0%,59.8
https://tickets.chobble.com/pricing/,0,4,0%,9.5
https://tickets.chobble.com/features/sign-up-forms/,0,4,0%,21.75
https://tickets.chobble.com/features/no-spying/,0,4,0%,31
https://tickets.chobble.com/features/custom-questions/,0,4,0%,31.25
https://tickets.chobble.com/features/sms-messages/,0,4,0%,34.25
https://tickets.chobble.com/features/embeddable-widget/,0,3,0%,28.33
https://tickets.chobble.com/perfect-for/workshops/,0,3,0%,38
https://tickets.chobble.com/features/order-widget/,0,3,0%,40.67
https://tickets.chobble.com/features/activity-logs/,0,2,0%,1
https://tickets.chobble.com/features/deposits-and-balance-payments/,0,2,0%,5.5
https://tickets.chobble.com/features/bulk-event-management/,0,2,0%,13.5
https://tickets.chobble.com/features/packages/,0,2,0%,13.5
https://tickets.chobble.com/features/editors/,0,2,0%,15.5
https://tickets.chobble.com/features/bulk-email/,0,2,0%,17
https://tickets.chobble.com/features/rss-and-calendar-feeds/,0,2,0%,22
https://tickets.chobble.com/perfect-for/stay-and-play/,0,2,0%,27
https://tickets.chobble.com/features/images/,0,2,0%,27.5
https://tickets.chobble.com/perfect-for/sports-clubs/,0,2,0%,34.5
https://tickets.chobble.com/features/servicing-events/,0,2,0%,44
https://tickets.chobble.com/features/who-can-see-your-data/,0,1,0%,3
https://tickets.chobble.com/features/platform-and-integrations/,0,1,0%,4
https://tickets.chobble.com/perfect-for/classes-and-courses/,0,1,0%,4
https://tickets.chobble.com/features/email-templates/,0,1,0%,7
https://tickets.chobble.com/features/catalogue-import-export/,0,1,0%,9
https://tickets.chobble.com/features/selling-tickets/,0,1,0%,9
https://tickets.chobble.com/features/users/,0,1,0%,9
https://tickets.chobble.com/features/backups/,0,1,0%,17
https://tickets.chobble.com/perfect-for/festivals/,0,1,0%,27